Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Request participants),Satisfaction rating,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Status Category
[Asset_Transfer]: Search not work in Asset Transfer page ,MOI-203,16795,Bug,To Do,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,Medium,,ruhullahil,63f590a24e86f362d39b1664,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,10/Jul/23 12:31 PM,10/Jul/23 12:31 PM,25/Jul/23 11:20 AM,,,0,Asset_Management_Issues,"Search not work by any value 

!Assets Transfer - MiME - Google Chrome 2023-07-10 12-28-50.mp4|width=1920,height=1160!",,Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,10/Jul/23 12:31 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;Assets Transfer - MiME - Google Chrome 2023-07-10 12-28-50.mp4;https://digicontc.atlassian.net/rest/api/3/attachment/content/16867,,,,,,,,,,,,{},,,,,,,,2|i000kv:,,,,,,,,,,,,,,,,,,,,To Do
[Asset_Transfer]: Print button need to removed from all the pages from Assets Management module,MOI-202,16794,Bug,To Do,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,Medium,,ruhullahil,63f590a24e86f362d39b1664,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,10/Jul/23 12:21 PM,10/Jul/23 12:25 PM,11/Jul/23 11:14 AM,,,0,Asset_Management_Issues,"Please remove from the mention SS pages 

Steps:

Asset Transfer > Click to select transfer request > Observe 

!image-20230710-061820.png|width=1426,height=516!

Asset Transfer

!image-20230710-062356.png|width=1423,height=477!

Asset Pool

!image-20230710-062433.png|width=1437,height=342!

Assets without FAMIS ",,Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,10/Jul/23 12:21 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230710-061820.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16864,10/Jul/23 12:25 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230710-062356.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16866,10/Jul/23 12:25 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230710-062433.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16865,,,,,,,,,,{},,,,,,,,2|i000kn:,,,,,,,,,,,,,,,,,,,,To Do
[Asset_Transfer]: Odoo client error found randomly after login with credential  ,MOI-201,16792,Bug,Issue Found,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,Medium,,ruhullahil,63f590a24e86f362d39b1664,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,10/Jul/23 9:30 AM,10/Jul/23 10:07 AM,11/Jul/23 11:14 AM,,,0,Asset_Management_Issues,"Odoo client error found randomly after login 

Steps:

Login with valid credential > Click Inventory menu > Obseve 

Frequency: Sometimes 



!MiME - Google Chrome 2023-07-10 09-23-11 (b7a30d17-a85f-49d3-b397-6c89cabcd016).mp4|width=1920,height=1032!

See the Image for better clarification 

[^Oddo client error.txt]

Error log file ",,Mamun Reza,ruhullahil,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,63f590a24e86f362d39b1664,,,,,,,,,,,,,10/Jul/23 9:30 AM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;MiME - Google Chrome 2023-07-10 09-23-11 (b7a30d17-a85f-49d3-b397-6c89cabcd016).mp4;https://digicontc.atlassian.net/rest/api/3/attachment/content/16862,10/Jul/23 9:35 AM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;Oddo client error.txt;https://digicontc.atlassian.net/rest/api/3/attachment/content/16863,,,,,,,,,,,{},,,,,,,,2|i000kf:,,,,,,,,,,,,2023-07-10 03:35:16.182,10/Jul/23 9:35 AM;63f590a24e86f362d39b1664;[~accountid:712020:d9d63273-d27f-45c0-99e9-c038f129f710] vai please refresh the page,"10/Jul/23 9:37 AM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;Refresh is not a solution vai, the issue happens randomly so needs to fix permanently. ",,,,,,In Progress
[Asset_Transfer]: Product selection dropdown from Add an item will show their own location products only other than all product ,MOI-200,16789,Bug,To Do,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,Highest,,ruhullahil,63f590a24e86f362d39b1664,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,09/Jul/23 11:45 AM,09/Jul/23 1:30 PM,29/Jul/23 9:05 PM,,,0,Asset_Management_Issues,"* The dropdown will show their own location product only other than all product 

!image-20230709-053948.png|width=1532,height=686!",,Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,09/Jul/23 11:45 AM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230709-053948.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16857,,,,,,,,,,,,{},,,,,,,,2|i000jr:,,,,,,,,,,,,,,,,,,,,To Do
[Asset_Transfer]: Store In-charge will be permitted to view only their own location asset status instead of view all from Asset Transfer ,MOI-199,16788,Bug,To Do,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,Highest,,ruhullahil,63f590a24e86f362d39b1664,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,09/Jul/23 10:41 AM,09/Jul/23 10:41 AM,11/Jul/23 11:15 AM,,,0,Asset_Management_Issues,"* Store In-charge will be permitted to view only their own location asset status from the Asset Transfer 
* Can’t view others' locations Asset status 

!image-20230709-044015.png|width=1538,height=594!

Image: Anyone can view others Asset transfer activity ",,Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,09/Jul/23 10:41 AM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230709-044015.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16856,,,,,,,,,,,,{},,,,,,,,2|i000jj:,,,,,,,,,,,,,,,,,,,,To Do
[Asset_Transfer]: Product and Locations option need to remove from Approver permission ,MOI-198,16787,Task,To Do,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,Medium,,ruhullahil,63f590a24e86f362d39b1664,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,09/Jul/23 10:09 AM,09/Jul/23 10:09 AM,11/Jul/23 11:15 AM,,,0,Asset_Management_Issues,"!image-20230709-040341.png|width=1555,height=664!",,Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,09/Jul/23 10:09 AM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230709-040341.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16855,,,,,,,,,,,,{},,,,,,,,2|i000jb:,,,,,,,,,,,,,,,,,,,,To Do
[Asset_Transfer]: Import button need to removed from Asset Transfer table ,MOI-197,16786,Bug,To Do,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,Medium,,ruhullahil,63f590a24e86f362d39b1664,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,09/Jul/23 9:58 AM,09/Jul/23 9:58 AM,10/Jul/23 9:18 AM,,,0,Asset_Management_Issues,"

!image-20230709-035825.png|width=1527,height=597!",,Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,09/Jul/23 9:58 AM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230709-035825.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16854,,,,,,,,,,,,{},,,,,,,,2|i000j3:,,,,,,,,,,,,,,,,,,,,To Do
"Lot/Serial Number should be ""Serial Number"" for both of  Asset without FAMIS and Asset Pool tables",MOI-196,16785,Bug,In Progress,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,Medium,,ruhullahil,63f590a24e86f362d39b1664,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,08/Jul/23 3:42 PM,10/Jul/23 9:44 AM,11/Jul/23 11:15 AM,,,0,Asset_Management_Issues,"

!image-20230708-094129.png|width=1535,height=670!

Asset without FAMIS table

!image-20230708-094159.png|width=1523,height=567!

 Asset Pool table","

!image-20230708-093739.png|width=1535,height=479!",Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,08/Jul/23 3:42 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230708-093739.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16853,08/Jul/23 3:42 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230708-094129.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16851,08/Jul/23 3:42 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230708-094159.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16852,,,,,,,,,,{},,,,,,,,2|i000iv:,,,,,,,,,,,,,,,,,,,,In Progress
"[Asset_Transfer]: ""FAMIS Serial"" field need to define with ""*"" as a mandatory field. ",MOI-195,16780,Bug,Done,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,High,Done,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,06/Jul/23 2:11 PM,08/Jul/23 2:38 PM,11/Jul/23 11:15 AM,08/Jul/23 2:38 PM,,0,Asset_Management_Issues,"Steps:

Assets without FAMIS > Edit > Observe

!image-20230706-081100.png|width=58.33%!",,Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,06/Jul/23 2:11 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230706-081100.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16843,,,,,,,,,,,,{},,,,,,,,2|i000hz:,,,,,,,,,,,,,,,,,,,,Done
"[Asset_Transfer]: Internal Reference, IPTV Username and Status fields should be remove from Asset without FAMIS form (edit mode) ",MOI-194,16779,Bug,In Progress,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,High,,ruhullahil,63f590a24e86f362d39b1664,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,06/Jul/23 2:05 PM,10/Jul/23 9:41 AM,11/Jul/23 11:15 AM,,,0,Asset_Management_Issues,"Steps:

Assets without FAMIS > Edit > Observe 

!image-20230706-080329.png|width=1241,height=643!",,Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,06/Jul/23 2:05 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230706-080329.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16842,08/Jul/23 2:38 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230708-083838.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16849,,,,,,,,,,,{},,,,,,,,2|i000hr:,,,,,,,,,,,,,"08/Jul/23 2:38 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;h1. Internal Reference field still showing, please remove it as intended 

!image-20230708-083838.png|width=1530,height=583!",,,,,,,In Progress
"[Asset_Transfer]:  Need to remove ""Create"" and ""Import"" buttons from  Assets without FAMIS and Asset Pool, ",MOI-193,16778,Bug,Done,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,Highest,Done,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,06/Jul/23 1:56 PM,10/Jul/23 11:53 AM,11/Jul/23 11:15 AM,10/Jul/23 11:53 AM,,0,Asset_Management_Issues,"!image-20230706-075121.png|width=1507,height=389!

Image: Assets without FAMIS



!image-20230706-075155.png|width=1530,height=375!

Image: Asset Pool",,Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,06/Jul/23 1:56 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230706-075121.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16840,06/Jul/23 1:56 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230706-075155.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16841,,,,,,,,,,,{},,,,,,,,2|i000hj:,,,,,,,,,,,,,,,,,,,,Done
[Asset_Transfer]: Approver will not permitted to create asset transfer  ,MOI-192,16776,Improvement,Done,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,High,Done,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,06/Jul/23 1:24 PM,08/Jul/23 2:42 PM,12/Jul/23 10:13 AM,08/Jul/23 2:42 PM,,0,Asset_Management_Issues,"Create button will hide from the asset transfer page  for Approver permission 

!image-20230706-072555.png|width=1526,height=726!

See the image for more clarification ",,Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,06/Jul/23 1:26 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230706-072555.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16838,,,,,,,,,,,,{},,,,,,,,2|i000h3:,,,,,,,,,,,,,,,,,,,,Done
[Asset_Transfer]: Brand field should not be clickable and use [-] instead of blank ,MOI-191,16775,Improvement,QA Testing,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,High,,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,06/Jul/23 12:41 PM,08/Jul/23 1:22 PM,31/Jul/23 4:02 PM,,,0,Asset_Management_Issues,"!image-20230706-064107.png|width=1264,height=661!

Image for more clarification",,Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,06/Jul/23 12:41 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230706-064107.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16837,,,,,,,,,,,,{},,,,,,,,2|i000gv:,,,,,,,,,,,,,,,,,,,,In Progress
"[Asset_Transfer]: Lot field name should be ""Serial Number"" ",MOI-190,16774,Improvement,Done,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,High,Done,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,06/Jul/23 12:37 PM,10/Jul/23 11:51 AM,10/Jul/23 11:49 AM,10/Jul/23 11:51 AM,,0,Asset_Management_Issues,"The Lot field name should be ""Serial Number""  from Detailed  Operations



!image-20230706-063518.png|width=1018,height=483!",,Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,06/Jul/23 12:37 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230706-063518.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16836,,,,,,,,,,,,{},,,,,,,,2|i000gn:,,,,,,,,,,,,,,,,,,,,Done
"[Asset_Transfer]: Transfer option name will be ""Asset Transfer"" from  asset management module ",MOI-189,16773,Improvement,Done,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,Highest,Done,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,06/Jul/23 12:27 PM,08/Jul/23 2:43 PM,09/Jul/23 10:29 AM,08/Jul/23 2:43 PM,,0,Asset_Management_Issues,"Steps:

Login > Inventory > Asset Management > Transfer 



!image-20230706-062313.png|width=327,height=268!",,Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,06/Jul/23 12:27 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230706-062313.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16835,,,,,,,,,,,,{},,,,,,,,2|i000gf:,,,,,,,,,,,,,,,,,,,,Done
"[Asset_Transfer]: Need to create new permission group as ""Asset FAMIS tag generator"" ",MOI-188,16772,Improvement,In Progress,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,Highest,,ruhullahil,63f590a24e86f362d39b1664,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,06/Jul/23 12:17 PM,09/Jul/23 10:41 AM,09/Jul/23 10:31 AM,,,0,Asset_Management_Issues,"* Only ""Asset FAMIS tag generator""  will tag the FAMIS from Asset without FAMIS menu
* POP incharge will not get Asset without FAMIS menu from their permission ",,Mamun Reza,ruhullahil,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,63f590a24e86f362d39b1664,,,,,,,,,,,,,08/Jul/23 2:28 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;FAMIS Tag Generate by POP incharge.mp4;https://digicontc.atlassian.net/rest/api/3/attachment/content/16848,08/Jul/23 2:54 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;image-20230708-085428.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16850,,,,,,,,,,,{},,,,,,,,2|i000g7:,,,,,,,,,,,,2023-07-08 08:34:48.735,"08/Jul/23 2:28 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;Till the “Assets without FAMIS” option shows at store in-charge panel after unchecking from admin permission and can generate FAMIS tag



!FAMIS Tag Generate by POP incharge.mp4|width=1920,height=1032!",08/Jul/23 2:34 PM;63f590a24e86f362d39b1664;[~accountid:712020:d9d63273-d27f-45c0-99e9-c038f129f710] vai check now,"08/Jul/23 2:54 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;Still the same vai, also showing at the approver end 



!image-20230708-085428.png|width=1535,height=578!",09/Jul/23 10:41 AM;63f590a24e86f362d39b1664;done,,,,In Progress
[Asstet_Transfer]: Password Eye icon need to add inside password field and password should be visible when click on eye icon,MOI-187,16771,Improvement,QA Testing,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,Medium,,ruhullahil,63f590a24e86f362d39b1664,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,06/Jul/23 12:07 PM,09/Jul/23 10:48 AM,11/Jul/23 11:14 AM,,,0,Asset_Management_Issues,"The eye icon need to add inside the password field and password should be visible when clicking on eye icon



!Password Eye icon need to add inside password field and pass word shoulbe be visible when click on eye icon.png|width=1116,height=525!

Need to add ",,Mamun Reza,ruhullahil,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,63f590a24e86f362d39b1664,,,,,,,,,,,,,06/Jul/23 12:07 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;Password Eye icon need to add inside password field and pass word shoulbe be visible when click on eye icon.png;https://digicontc.atlassian.net/rest/api/3/attachment/content/16834,,,,,,,,,,,,{},,,,,,,,2|i000fz:,,,,,,,,,,,,2023-07-09 04:48:16.119,09/Jul/23 10:48 AM;63f590a24e86f362d39b1664;[~accountid:712020:d9d63273-d27f-45c0-99e9-c038f129f710] vai It has technical challenges and has an impact on mime inventory current process. so ignore it this time.,,,,,,,In Progress
"[Asset_Transfer]: Asset transfer request can delete every user, even after approval from their transfer list.",MOI-186,16765,Bug,Done,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,High,Done,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,05/Jul/23 5:37 PM,08/Jul/23 2:55 PM,11/Jul/23 11:14 AM,08/Jul/23 2:55 PM,,0,Asset_Management_Issues,"* Only the initiator will be deleted the transfer request before approval.
* Without Initiator no one can be permitted to delete the transfer request.
* After approval, Initiator will not be permitted to delete the transfer request.

!Assets Transfer_ can delete every user.mp4|width=1920,height=1032!

Please see the video for more clarification ",,Mamun Reza,,,,712020:d9d63273-d27f-45c0-99e9-c038f129f710,,,,,,,,,,,,,,05/Jul/23 5:37 PM;712020:d9d63273-d27f-45c0-99e9-c038f129f710;Assets Transfer_ can delete every user.mp4;https://digicontc.atlassian.net/rest/api/3/attachment/content/16826,,,,,,,,,,,,{},,,,,,,,2|i000en:,,,,,,,,,,,,,,,,,,,,Done
"""Store Incharge"" Role should not get permission to Tag FAMIS Id",MOI-185,16756,Improvement,Done,MOI,MiME Odoo Inventory,software,Anirban Saha,557058:0833d777-5abc-48b9-9f47-90261a3bb036,,Highest,Done,Mamun Reza,712020:d9d63273-d27f-45c0-99e9-c038f129f710,Anika Tahsin,60fe7c083900e60070744b3a,Anika Tahsin,60fe7c083900e60070744b3a,22/Jun/23 5:35 PM,10/Jul/23 11:52 AM,10/Jul/23 11:52 AM,10/Jul/23 11:52 AM,,0,Asset_Management_Issues,The user who will have Store Incharge role should not be able to tag FAMIS Id. ,,Anika Tahsin,,,,60fe7c083900e60070744b3a,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,2|hzyzi7:ho,,,,,,,,,,,,,,,,,,,,Done
